sector,num_bedrooms,num_bathrooms,num_balconies,age_group,super_built_up_area,built_up_area,carpet_area,floor_number,servant_room,pooja_room,store_room,furnished,Centrally Air Conditioned,False Ceiling Lighting,Intercom Facility,Private Garden / Terrace,Separate entry for servant room,Spacious Interiors
sector 22,3,4.0,3.0,Moderately New Flat,3090.0,2500.0,2250.0,7.0,1,0,0,1,1,1,1,0,1,0
sector 70,4,5.0,4.0,Moderately Old Flat,2400.0,2144.9099344978167,1950.0,7.0,1,0,0,1,1,1,1,1,1,1
sector 60,4,4.0,3.0,Moderately New Flat,2800.0,2650.0,2350.0,12.0,1,0,0,1,0,0,1,0,0,0
sector 22,4,5.0,4.0,New Flat,3897.0,3389.2467248908297,3000.0,10.0,1,1,0,1,0,0,1,0,0,0
sector 65,3,3.0,3.0,Moderately Old Flat,2850.0,2475.8539847161574,2189.0,38.0,1,0,0,1,0,0,1,0,0,0
sector 77,2,2.0,2.0,Moderately New Flat,1342.0,1140.0,969.0,8.0,0,0,1,1,0,0,1,0,0,0
sector 79,3,3.0,3.0,Moderately New Flat,1490.0,1058.0,863.91,18.0,0,0,0,1,0,0,1,0,0,0
sector 79,3,4.0,4.0,Moderately New Flat,2366.0,1963.0,1629.0,9.0,1,0,0,0,0,1,1,0,0,0
sector 79,3,3.0,3.0,Moderately New Flat,1490.0,1176.0,863.91,19.0,0,0,1,1,0,0,1,0,0,0
sector 39,3,4.0,3.0,Old Flat,2598.0,2259.4978165938865,2000.0,3.0,1,0,0,1,0,0,0,0,0,0
sector 39,5,4.0,3.0,Old Flat,4156.8,3615.196506550219,3200.0,9.0,1,0,0,1,0,0,1,0,0,0
sector 70,3,3.0,4.0,Moderately New Flat,1950.0,1703.056768558952,1504.3097921946714,7.0,1,0,0,0,0,0,1,0,0,0
sector 84,2,2.0,3.0,Moderately New Flat,1534.0,1378.6189956331878,1260.0,14.0,0,0,0,0,0,0,1,0,0,0
sector 47,3,3.0,3.0,Old Flat,2100.0,1884.5305676855896,1720.0,1.0,0,0,0,1,1,1,1,1,0,1
sector 92,1,1.0,1.0,Moderately New Flat,392.298,341.18417030567684,302.0,0.0,0,0,0,0,0,0,1,0,0,0
sector 43,3,4.0,4.0,Moderately Old Flat,2598.0,2259.4978165938865,2000.0,5.0,1,0,0,1,0,0,1,0,0,0
sector 67,4,4.0,4.0,Moderately New Flat,2350.0,2250.0,2001.0,0.0,1,1,0,1,1,1,1,1,1,1
sector 47,3,4.0,4.0,Moderately Old Flat,2086.0,1895.2920305676857,1750.0,10.0,1,0,0,0,0,0,1,0,0,0
sector 72,3,3.0,3.0,Moderately Old Flat,2550.0,2227.0742358078605,1967.174343639186,8.0,1,0,0,0,0,0,1,0,0,0
sector 71,3,4.0,3.0,Moderately Old Flat,1802.0,1573.7991266375548,1390.1365361716914,0.0,1,0,0,0,0,0,1,0,0,0
sector 90,2,2.0,3.0,Moderately Old Flat,1350.0,1179.0393013100438,1041.4452407501572,10.0,0,0,0,1,0,0,1,0,1,0
gwal pahari,5,6.0,4.0,Moderately New Flat,6180.51,5373.194323144105,4756.997217969913,23.0,1,1,0,0,0,0,1,0,0,0
sector 54,4,5.0,4.0,Moderately New Flat,4026.9000000000005,3502.221615720524,3100.0,7.0,1,1,0,0,0,0,1,0,0,0
sector 90,3,3.0,3.0,Moderately New Flat,1702.0,1586.9814410480349,1500.0,6.0,0,0,0,1,0,0,1,0,0,0
sector 90,4,4.0,4.0,Moderately Old Flat,2215.0,1934.4978165938865,1708.741635749332,7.0,0,0,0,0,0,0,1,0,0,0
sector 65,3,3.0,3.0,Moderately New Flat,3363.0,2937.117903930131,2594.355810846503,18.0,1,0,0,0,0,0,1,0,1,0
sector 49,4,4.0,4.0,Moderately Old Flat,2383.0,2081.2227074235807,1838.3437101537959,5.0,1,0,0,0,0,1,1,0,1,0
sector 86,3,3.0,3.0,Moderately New Flat,1929.0,1700.0,1548.0,17.0,0,0,0,1,1,1,1,1,1,0
sector 81,3,3.0,4.0,Moderately New Flat,2132.0,1859.129366812227,1650.0,3.0,1,0,0,1,0,1,1,0,1,1
sector 83,3,3.0,3.0,Moderately New Flat,1900.0,1527.2168231441049,1240.04,7.0,1,0,0,0,0,0,1,0,0,0
sector 108,2,3.0,3.0,Moderately New Flat,1283.0,978.23,734.43,4.0,0,0,0,0,0,0,1,0,1,1
sector 102,3,3.0,4.0,Moderately New Flat,1852.0,1624.3586244541484,1450.0,1.0,0,0,0,0,0,0,1,0,0,0
sector 85,4,5.0,4.0,New Flat,2560.0,2017.0,1800.0,6.0,1,0,0,1,0,0,0,0,0,0
sector 85,4,5.0,4.0,Moderately New Flat,2560.0,2017.0,1890.0,10.0,1,0,0,1,0,0,0,0,1,0
sector 85,3,4.0,2.0,Moderately New Flat,2120.0,1650.0,1550.0,6.0,1,0,0,0,0,0,0,0,0,0
sector 90,3,4.0,3.0,Moderately New Flat,1950.0,1525.0,1375.0,0.0,1,0,0,1,0,0,0,0,1,0
sector 85,4,4.0,3.0,Moderately Old Flat,1975.0,1575.0,1435.0,8.0,0,0,0,1,0,0,1,0,0,0
sector 95,3,4.0,4.0,New Flat,1965.0,1946.5161026200874,1935.0,5.0,1,0,0,0,0,0,1,0,0,0
sector 69,4,4.0,2.0,Moderately New Flat,2010.0,1755.4585152838429,1550.596247339123,14.0,0,0,0,1,0,1,1,1,0,1
sector 104,3,4.0,3.0,Moderately New Flat,2450.0,2063.0921206331877,1765.73,15.0,1,0,0,1,1,1,1,1,1,1
sector 102,3,3.0,3.0,Moderately New Flat,1650.0,1295.725267467249,1022.58,7.0,0,1,0,1,1,1,1,1,1,1
sector 109,3,3.0,3.0,Moderately New Flat,1745.0,1550.0,1250.0,10.0,0,1,0,1,0,0,1,0,0,0
sector 104,2,2.0,2.0,Moderately New Flat,1550.0,1353.7117903930132,1195.7334245649954,10.0,0,0,0,0,0,0,1,0,0,1
sector 83,2,2.0,2.0,Moderately Old Flat,1320.0,1152.8384279475983,1018.3020131779315,8.0,0,0,1,0,0,0,0,0,0,0
sector 108,3,2.0,4.0,Moderately New Flat,1758.0,1550.0,1400.0,11.0,1,1,0,1,1,1,1,1,1,1
sector 62,4,4.0,4.0,Moderately Old Flat,4337.0,3787.772925764192,3345.739266024764,3.0,0,0,0,0,0,1,1,0,0,0
sector 106,3,4.0,4.0,Moderately New Flat,1760.0,1186.0,1130.0,12.0,1,0,0,0,0,0,1,0,0,0
sector 106,3,4.0,3.0,Moderately New Flat,1900.0,1305.0,1173.0,5.0,1,0,0,0,0,0,1,0,0,0
sector 113,3,3.0,4.0,New Flat,2217.0,1980.0,1760.0,8.0,1,0,0,0,0,0,1,0,0,0
sector 56,3,3.0,4.0,Old Flat,1500.0,1450.0,1400.0,4.0,0,0,0,1,1,1,1,1,1,1
sector 103,2,2.0,3.0,Moderately New Flat,1325.0,1065.1651200873362,865.0,10.0,0,0,0,1,1,1,1,1,1,1
sector 108,3,4.0,2.0,Moderately New Flat,2003.0,1600.0,1400.0,12.0,0,0,0,0,0,0,1,0,0,0
sector 67,3,4.0,3.0,Moderately New Flat,2358.0,2059.3886462882097,1819.0576871769413,17.0,1,0,0,1,1,1,1,1,1,1
sector 67,3,3.0,3.0,Moderately New Flat,2048.0,1788.646288209607,1579.9110022639422,2.0,0,0,1,1,1,1,1,1,1,1
sector 109,3,4.0,3.0,Moderately New Flat,2095.0,1829.6943231441048,1616.1687254604292,9.0,1,0,0,0,0,0,1,0,1,0
sector 102,3,3.0,3.0,Moderately New Flat,1692.0,1477.7292576419215,1305.2780350735304,1.0,0,0,0,0,0,1,1,0,1,0
sector 111,4,5.0,4.0,Moderately New Flat,2950.0,2576.4192139737993,2275.7507112688622,10.0,1,0,0,0,0,1,1,0,1,0
sector 110,4,5.0,3.0,Moderately New Flat,3350.0,2925.764192139738,2584.3270788985383,7.0,1,0,0,0,0,1,1,0,1,0
sector 104,3,4.0,4.0,Moderately New Flat,2290.0,2000.0,1766.5997046798961,11.0,1,0,0,0,0,1,1,0,1,0
sector 104,4,4.0,4.0,Moderately New Flat,3150.0,2751.091703056769,2430.0388950837005,11.0,1,0,0,0,0,1,1,0,1,0
sector 106,4,6.0,4.0,Moderately New Flat,2355.0,2056.768558951965,1816.7433644197185,11.0,1,0,0,0,1,1,1,1,1,0
sector 102,4,4.0,4.0,Moderately New Flat,2162.0,1888.2096069868996,1667.8552670384,15.0,0,0,0,0,0,1,1,0,1,0
sector 108,4,5.0,4.0,Moderately New Flat,2779.0,2427.0742358078605,2143.8343141071755,8.0,0,0,0,0,0,1,1,0,1,0
sector 108,2,2.0,2.0,Moderately New Flat,1381.0,1206.113537117904,1065.359909241457,8.0,0,0,0,0,0,1,1,0,1,0
sector 108,3,3.0,3.0,Moderately New Flat,2072.0,1809.6069868995635,1598.425584321723,12.0,0,0,0,0,0,1,1,0,1,0
sector 109,3,3.0,3.0,Moderately New Flat,2545.0,2222.7074235807863,1963.3171390438151,9.0,1,0,0,0,0,0,1,0,1,0
sector 104,4,5.0,4.0,Moderately New Flat,8443.5,7343.367903930131,6500.0,27.0,0,0,0,0,0,1,1,0,1,0
sector 107,2,2.0,4.0,Moderately New Flat,1366.0,1193.0131004366813,1053.7882954553443,7.0,0,0,0,0,0,0,1,0,1,0
sector 107,3,2.0,2.0,Moderately New Flat,837.855,728.6880458515284,645.0,6.0,0,0,0,0,0,0,1,0,0,0
sector 107,3,2.0,2.0,Moderately New Flat,837.855,728.6880458515284,645.0,5.0,0,0,0,0,0,0,1,0,0,0
sector 107,2,2.0,2.0,Moderately New Flat,635.211,552.4472161572053,489.0,6.0,0,0,0,0,0,0,1,0,0,0
sector 107,2,2.0,2.0,Moderately New Flat,635.211,552.4472161572053,489.0,3.0,0,0,0,0,0,0,1,0,0,0
sector 108,2,2.0,3.0,Moderately New Flat,1363.95,1186.2363537117903,1050.0,10.0,1,0,0,0,0,1,1,1,1,1
sector 107,2,2.0,4.0,Moderately New Flat,1366.0,1193.0131004366813,1053.7882954553443,7.0,0,0,0,1,0,1,1,1,1,1
sector 102,3,3.0,3.0,Moderately New Flat,1650.0,1295.725267467249,1022.58,10.0,1,0,0,0,0,1,1,1,1,1
sector 110,3,2.0,1.0,Moderately New Flat,1104.15,960.2865720524019,850.0,3.0,0,0,0,0,0,0,0,0,0,0
sector 99,2,2.0,3.0,New Flat,1550.0,1351.8558951965065,1200.0,9.0,0,0,0,0,0,0,1,0,0,0
sector 67,2,2.0,2.0,Moderately New Flat,1484.0,1131.7849344978167,860.0,8.0,0,0,0,0,0,0,1,0,0,0
sector 69,3,3.0,2.0,Moderately New Flat,1578.0,1378.165938864629,1217.3337702990727,8.0,0,1,0,1,0,0,1,0,0,1
sector 82,4,5.0,4.0,Moderately New Flat,2576.0,2081.140829694323,1700.0,10.0,1,0,0,1,1,1,1,1,1,1
sector 112,2,2.0,3.0,Moderately New Flat,2441.0,1939.03,1797.7374646457781,8.0,0,0,0,0,1,0,1,1,1,1
sector 103,3,3.0,4.0,New Flat,1762.0,1500.0,1300.0,7.0,0,0,0,0,0,0,1,0,1,0
sector 107,2,2.0,4.0,Moderately New Flat,1366.0,1187.1315502183406,1050.0,14.0,0,1,0,1,1,1,1,1,1,1
sector 107,3,3.0,4.0,Moderately New Flat,1943.0,1554.0,1457.0,4.0,0,1,0,1,1,1,1,1,1,1
sector 107,3,4.0,4.0,Moderately New Flat,2361.0,2062.008733624454,1821.372009934164,5.0,1,0,1,1,1,1,1,1,1,1
sector 88,2,2.0,3.0,Moderately New Flat,1628.0,1369.6045305676857,1171.0,15.0,0,1,0,1,1,1,1,1,1,1
sector 88,2,2.0,3.0,Moderately New Flat,1616.0,1362.6768558951967,1168.0,14.0,0,1,0,0,1,1,1,1,1,1
sector 103,3,4.0,4.0,Moderately New Flat,1991.0,1710.3698144104803,1495.0,2.0,1,1,0,1,1,1,1,1,1,1
sector 83,2,2.0,2.0,Moderately New Flat,1245.0,850.0,790.0,3.0,0,1,0,1,0,1,1,1,1,1
sector 83,3,3.0,2.0,Moderately New Flat,1980.0,1350.0,1308.0,3.0,1,1,1,1,0,1,1,1,1,1
sector 108,3,3.0,3.0,Moderately New Flat,1838.0,1605.240174672489,1417.908409258362,9.0,0,1,0,0,1,1,1,1,1,1
sector 102,3,4.0,4.0,Moderately New Flat,2149.0,1186.0,1130.0,20.0,1,0,0,1,0,0,1,0,0,0
sector 54,3,3.0,3.0,Moderately Old Flat,2000.0,1900.0,1800.0,3.0,1,0,0,1,0,0,1,0,1,1
sector 69,3,3.0,2.0,Moderately New Flat,1578.0,1378.165938864629,1217.3337702990727,0.0,0,1,0,1,0,1,1,1,1,1
sector 69,3,2.0,4.0,Moderately New Flat,1500.0,1326.0,1050.0,1.0,0,0,0,1,0,1,1,1,1,0
manesar,3,3.0,4.0,Moderately Old Flat,2713.611,2360.0454694323143,2089.0,5.0,1,0,0,0,0,0,0,0,0,0
sector 1,3,3.0,4.0,Moderately Old Flat,2150.0,1877.7292576419215,1658.5979760095097,5.0,1,0,0,0,0,0,0,0,0,0
sector 60,3,3.0,3.0,Moderately New Flat,2403.0,2400.0,2200.0,5.0,1,0,0,1,1,1,1,1,1,1
sector 60,2,2.0,2.0,Moderately New Flat,1365.0,1350.0,1300.0,2.0,0,1,0,1,1,1,1,1,1,1
sector 77,3,3.0,3.0,Moderately New Flat,1822.0,1600.0,1400.0,7.0,0,0,0,0,0,0,1,0,0,0
sector 85,3,4.0,3.0,New Flat,2408.0,2103.056768558952,1857.629733130651,9.0,0,1,0,0,0,0,1,0,0,0
sector 84,3,3.0,3.0,Moderately New Flat,1963.0,1813.4552401746726,1700.0,20.0,1,0,0,1,0,0,1,0,0,0
sector 67,3,4.0,4.0,Moderately New Flat,2358.0,2059.3886462882097,1819.0576871769413,16.0,1,0,0,1,1,1,1,0,1,1
sector 67,3,4.0,4.0,Moderately New Flat,2358.0,2059.3886462882097,1819.0576871769413,15.0,1,0,0,1,1,1,1,0,1,1
sector 67,3,4.0,4.0,Moderately New Flat,2452.0,2141.484716157205,1891.5731335699152,15.0,1,1,0,1,1,1,1,0,1,1
sector 43,4,4.0,3.0,Old Flat,2575.0,2570.0,2560.0,9.0,1,1,0,0,1,0,1,0,1,0
sector 67,3,3.0,4.0,Moderately New Flat,2047.0,1787.7729257641922,1579.139561344868,4.0,0,1,0,1,1,1,1,0,0,1
sector 92,3,3.0,3.0,Moderately New Flat,1935.0,1700.0,1600.0,9.0,1,0,0,0,0,0,1,0,0,0
sector 56,3,3.0,4.0,Moderately Old Flat,2000.0,1746.7248908296945,1542.8818381483811,6.0,1,0,0,1,0,0,1,0,0,0
sector 43,3,3.0,4.0,Old Flat,1400.0,1385.0,1185.0,7.0,0,0,1,1,1,1,1,1,1,1
sector 67,3,4.0,2.0,Moderately New Flat,2385.0,2200.0,1875.0,35.0,1,0,0,1,1,1,1,1,1,0
sector 58,3,4.0,2.0,Moderately New Flat,2164.0,2000.0,1775.0,10.0,1,0,0,1,1,1,1,1,1,1
sector 74,3,3.0,2.0,Moderately New Flat,2038.0,1938.0,1650.0,9.0,1,0,0,1,1,1,1,1,1,1
sector 83,4,4.0,3.0,Moderately New Flat,2533.05,2203.0103711790393,1950.0,10.0,1,0,0,0,0,0,0,0,0,0
sector 112,3,5.0,4.0,Moderately New Flat,2802.0,2447.161572052402,2161.577455245882,22.0,1,0,0,1,0,0,1,0,0,0
sector 70,3,3.0,3.0,Moderately New Flat,1976.0,1725.764192139738,1524.3672560906004,7.0,1,0,0,0,0,0,1,0,0,0
sector 48,3,3.0,4.0,Moderately New Flat,2305.0,2000.0,1700.0,7.0,1,0,0,1,1,1,1,1,1,1
sector 113,4,4.0,4.0,Moderately New Flat,3496.908,3041.2840611353713,2692.0,11.0,1,0,0,1,1,1,1,1,1,1
sector 69,3,3.0,2.0,Moderately New Flat,1578.0,1476.5829694323145,1400.0,8.0,0,1,0,1,1,1,1,1,1,1
sector 81,3,4.0,4.0,Moderately New Flat,2660.0,2455.322052401747,2300.0,8.0,1,0,0,1,0,1,1,1,1,1
sector 82,4,4.0,4.0,Moderately New Flat,2273.0,1746.3264192139738,1340.0,14.0,0,0,0,1,0,0,1,0,0,0
sector 81,2,2.0,2.0,Moderately New Flat,776.8019999999999,675.5898471615722,597.9999999999999,6.0,0,0,1,1,0,0,0,0,0,0
sector 83,3,3.0,2.0,Moderately New Flat,1735.0,1601.39192139738,1500.0,14.0,0,0,0,0,0,0,0,0,0,0
sector 84,2,2.0,3.0,Moderately New Flat,1270.0,1145.2101528384278,1050.0,6.0,0,0,0,1,0,0,1,0,0,0
sector 84,3,3.0,3.0,Moderately New Flat,1963.0,1813.4552401746726,1700.0,6.0,1,0,0,0,0,0,1,0,0,0
sector 53,4,5.0,4.0,Moderately New Flat,3390.0,3000.0,2500.0,10.0,1,1,0,1,1,1,1,1,1,1
sector 92,4,4.0,3.0,Moderately New Flat,2943.534,2560.0110262008734,2266.0,8.0,1,0,0,0,0,1,1,0,1,0
sector 92,3,3.0,3.0,Moderately New Flat,1978.377,1720.6075873362447,1523.0,7.0,0,0,0,1,0,1,1,0,0,0
sector 83,4,4.0,3.0,Moderately New Flat,2390.0,2000.0,1600.0,7.0,1,0,0,0,0,0,1,0,1,0
sector 65,3,3.0,3.0,Moderately New Flat,3246.0,3245.0,3000.0,2.0,1,0,0,1,1,1,1,1,1,1
sector 86,3,3.0,1.0,Moderately New Flat,1929.0,1684.7161572052403,1488.1095328941137,8.0,0,0,0,1,0,0,1,0,0,0
sector 65,3,3.0,4.0,New Flat,1818.6000000000001,1581.6484716157206,1400.0,1.0,0,0,1,1,0,1,1,0,1,0
sector 83,3,3.0,3.0,New Flat,1340.0,1147.6528384279477,1000.0,10.0,0,0,0,1,0,0,1,0,0,0
sector 37,3,3.0,4.0,Moderately New Flat,2191.0,1913.5371179039303,1690.2270536915516,10.0,1,0,0,0,0,0,0,0,0,0
sector 102,4,5.0,4.0,Moderately New Flat,3198.0,2600.0,2350.0,10.0,1,1,0,1,1,1,1,1,1,1
sector 102,3,4.0,4.0,Moderately New Flat,2025.0,1750.0,1600.0,8.0,1,1,0,1,1,1,1,1,1,1
sector 50,2,2.0,2.0,Moderately Old Flat,1336.0,1330.0,1100.0,19.0,0,0,0,1,1,1,1,1,1,1
sector 43,3,3.0,3.0,Old Flat,1345.0,1320.0,1300.0,2.0,0,0,0,1,0,1,1,0,1,0
sector 99,2,2.0,1.0,Moderately New Flat,581.952,506.1275109170306,448.0,10.0,0,0,0,0,0,0,0,0,0,0
sector 86,4,4.0,4.0,Moderately New Flat,2356.0,2057.64192139738,1817.514805338793,20.0,1,1,0,0,0,0,1,0,0,0
sector 86,3,4.0,4.0,Moderately New Flat,1930.0,1685.5895196506551,1488.8809738131877,2.0,1,1,0,0,0,0,1,0,0,0
sector 85,2,2.0,3.0,Moderately New Flat,1741.0,1700.0,1100.0,9.0,0,0,0,1,0,0,1,1,1,0
sector 85,2,2.0,3.0,Moderately New Flat,1640.0,1600.0,1150.0,10.0,0,1,0,0,0,0,1,1,1,0
sector 107,3,3.0,3.0,Moderately Old Flat,1943.0,1692.221615720524,1500.0,7.0,0,0,0,1,0,0,1,0,1,0
sector 110,4,4.0,3.0,Moderately Old Flat,3400.0,2969.4323144104806,2622.899124852248,9.0,1,0,0,0,0,0,1,0,1,0
sector 102,3,3.0,3.0,Moderately New Flat,1852.0,1617.467248908297,1428.7085821254009,10.0,0,0,0,0,0,0,1,0,0,0
sector 111,4,5.0,4.0,Moderately Old Flat,2950.0,2576.4192139737993,2275.7507112688622,17.0,1,0,0,1,0,0,1,0,1,0
sector 28,3,3.0,3.0,Moderately Old Flat,2051.8426666666664,1777.0,1576.2357185421397,7.0,1,0,0,0,0,1,1,0,1,0
sector 66,3,4.0,3.0,Moderately New Flat,2200.0,1921.3973799126638,1697.1700219632191,9.0,1,0,1,1,0,0,1,0,1,0
sohna road,3,3.0,4.0,Moderately New Flat,1751.0,1362.0038209606987,1062.0,4.0,0,0,0,0,1,1,1,0,0,1
sohna road,2,2.0,4.0,Moderately New Flat,1457.0,1113.8070414847161,849.0,14.0,0,0,0,0,1,0,1,0,0,1
sector 113,3,4.0,3.0,Moderately New Flat,2690.0,2150.0,1960.0,3.0,1,0,0,0,1,1,1,1,1,1
sector 113,3,4.0,3.0,Moderately New Flat,2217.0,1930.0,1760.0,3.0,1,0,0,0,1,1,1,1,1,1
sector 99,2,2.0,3.0,Moderately New Flat,1550.0,1390.0,1240.0,2.0,0,0,0,0,0,0,1,0,0,0
sector 99,2,2.0,3.0,Moderately New Flat,1550.0,1430.0,1160.0,3.0,0,0,0,0,1,1,1,1,1,1
sector 99,3,5.0,3.0,Moderately New Flat,1997.0,1750.0,1630.0,2.0,1,0,0,0,0,0,1,0,0,0
sector 113,2,2.0,2.0,Moderately New Flat,1580.0,1379.9126637554587,1218.876652137221,10.0,0,0,0,0,0,0,1,0,1,0
sector 113,3,3.0,3.0,Moderately New Flat,2225.0,1943.231441048035,1716.456044940074,8.0,0,0,0,0,0,1,1,0,1,0
sector 113,5,6.0,4.0,Moderately Old Flat,8527.935,7416.801582969432,6565.0,24.0,0,0,0,0,0,1,1,0,1,0
sector 109,3,3.0,3.0,Moderately New Flat,1745.0,1524.0174672489084,1346.1644037844626,8.0,0,0,0,0,1,1,1,1,1,0
sector 102,2,2.0,2.0,Moderately New Flat,1215.0,1061.1353711790393,937.3007166751415,10.0,0,0,0,0,0,1,1,0,1,0
sector 102,3,4.0,4.0,Moderately New Flat,1942.0,1696.0698689956332,1498.1382648420781,12.0,1,0,0,0,0,1,1,0,1,0
sector 111,3,4.0,2.0,Moderately New Flat,2200.0,1921.3973799126638,1697.1700219632191,9.0,1,0,0,0,0,1,1,0,1,0
sector 113,2,2.0,3.0,Moderately New Flat,1573.0,1373.7991266375545,1213.4765657037017,10.0,0,0,0,0,0,1,1,0,1,0
sector 108,3,3.0,2.0,Moderately New Flat,1711.0,1494.3231441048035,1319.93541253594,8.0,0,0,0,0,0,1,1,0,1,0
sector 108,3,4.0,2.0,Moderately New Flat,2003.0,1749.344978165939,1545.1961609056036,11.0,0,0,0,0,0,1,1,0,1,0
sector 107,3,4.0,4.0,Moderately New Flat,2361.0,2062.008733624454,1821.372009934164,6.0,1,0,0,0,0,1,1,0,1,0
sector 109,4,5.0,4.0,Moderately New Flat,3150.0,2751.091703056769,2430.0388950837005,10.0,1,0,0,0,0,1,1,0,1,0
sector 109,3,4.0,3.0,Moderately New Flat,2585.0,2257.64192139738,1994.1747758067827,14.0,1,0,0,0,0,1,1,0,1,0
sector 109,3,3.0,4.0,Moderately New Flat,1750.0,1528.3842794759826,1350.0216083798334,9.0,0,0,0,0,0,0,1,0,1,0
sector 109,3,2.0,3.0,Moderately New Flat,1880.0,1641.9213973799128,1450.3089278594782,8.0,0,0,0,0,0,1,1,0,1,0
sector 69,4,4.0,1.0,Moderately New Flat,1970.0,1720.524017467249,1519.7386105761552,12.0,0,0,0,0,0,0,1,0,0,0
sector 69,3,3.0,2.0,Moderately New Flat,1578.0,1378.165938864629,1217.3337702990727,1.0,0,1,0,0,0,0,1,0,0,0
sector 69,3,3.0,1.0,Moderately New Flat,1568.0,1369.4323144104803,1209.6193611083308,12.0,0,1,0,0,0,0,1,0,0,0
sector 69,3,3.0,1.0,Moderately New Flat,1568.0,1369.4323144104803,1209.6193611083308,12.0,0,1,0,0,0,0,1,0,0,0
sector 69,4,4.0,2.0,Moderately New Flat,2010.0,1755.4585152838429,1550.596247339123,0.0,0,0,0,0,0,0,1,0,0,0
sector 69,3,3.0,2.0,Moderately New Flat,1608.0,1404.3668122270742,1240.4769978712984,1.0,0,1,0,0,0,0,1,0,0,0
sector 81,4,4.0,4.0,New Flat,2872.0,2508.296943231441,2215.5783195810754,10.0,1,0,0,1,1,0,1,1,1,1
sector 81,3,3.0,4.0,New Flat,2132.0,1862.0087336244542,1644.7120394661742,6.0,1,0,0,1,1,0,1,1,1,1
sector 109,3,3.0,3.0,Moderately Old Flat,1745.0,1550.0,1250.0,21.0,0,0,0,0,0,0,1,0,0,0
sector 109,3,3.0,4.0,Moderately New Flat,2545.0,1970.2912117903932,1527.0,10.0,0,0,0,0,1,1,1,1,1,1
sector 109,3,2.0,4.0,Moderately New Flat,1880.0,1455.4606986899564,1128.0,12.0,0,0,0,0,0,0,1,0,0,1
sector 65,3,4.0,3.0,Moderately Old Flat,2979.0,2601.7467248908297,2298.1224979220133,19.0,1,0,0,1,1,1,1,1,1,1
sector 54,3,3.0,4.0,Moderately Old Flat,2100.0,2000.0,1900.0,3.0,0,1,0,1,0,1,1,0,0,1
sector 74,2,2.0,2.0,Moderately New Flat,1682.0,1491.0603165938865,1345.0,26.0,0,0,0,1,0,1,1,1,1,1
sector 56,4,4.0,4.0,Moderately New Flat,2400.0,2300.0,2200.0,7.0,0,0,0,1,0,1,1,0,0,1
sector 54,3,3.0,4.0,Moderately Old Flat,2200.0,2100.0,2000.0,6.0,1,0,0,1,0,1,1,0,1,1
sector 83,3,3.0,3.0,Moderately New Flat,1720.0,1350.0,1150.0,5.0,1,0,0,1,0,0,0,0,0,0
sector 65,3,3.0,3.0,Moderately New Flat,1650.0,1600.0,1350.0,3.0,1,0,0,1,0,0,1,0,0,0
sector 81,3,4.0,4.0,Moderately New Flat,2103.0,1836.6812227074236,1622.3402528130227,19.0,1,0,0,1,1,1,1,1,1,1
sector 83,3,3.0,3.0,Moderately New Flat,1900.0,1600.0,1240.04,4.0,1,0,0,1,1,1,1,0,1,1
sector 78,3,4.0,3.0,Moderately Old Flat,1854.0,1668.0,1501.0,8.0,1,1,0,0,0,0,1,0,0,0
sector 83,5,7.0,4.0,Moderately New Flat,3750.0,3200.0,2444.94,15.0,1,0,0,1,1,1,1,0,1,1
sector 37,3,3.0,3.0,Moderately New Flat,1811.0,1351.2484443231442,996.3,9.0,0,0,0,1,0,0,0,0,0,0
sector 74,2,2.0,3.0,New Flat,1415.0,1235.8078602620087,1091.5889004899796,26.0,0,0,0,1,0,0,1,0,0,0
sector 71,3,4.0,3.0,Moderately Old Flat,1802.0,1573.7991266375548,1390.1365361716914,3.0,1,0,0,0,0,0,1,0,0,0
sector 71,4,4.0,3.0,Moderately Old Flat,2193.0,1915.28384279476,1691.7699355297,14.0,1,0,0,0,0,0,1,0,0,0
sector 71,4,4.0,3.0,Moderately Old Flat,2350.0,2052.401746724891,1812.8861598243477,5.0,1,0,0,0,0,0,1,1,1,0
sector 71,4,4.0,3.0,Moderately Old Flat,2350.0,2052.401746724891,1812.8861598243477,8.0,1,0,0,0,0,0,1,0,0,0
sector 66,4,4.0,3.0,Moderately New Flat,2764.0,2700.0,2500.0,3.0,1,1,0,1,1,1,1,1,1,1
sector 86,3,3.0,4.0,Moderately New Flat,1929.0,1548.0,1300.0,9.0,0,0,0,1,1,1,1,1,1,1
sector 49,4,4.0,3.0,Moderately Old Flat,2383.0,2200.0,2000.0,5.0,1,1,0,1,0,1,1,1,1,0
manesar,3,3.0,4.0,Moderately Old Flat,2588.0,1900.0,1837.0457009701508,8.0,1,0,0,0,0,0,0,0,0,0
sector 54,3,4.0,4.0,Moderately Old Flat,2200.0,1900.0,1700.0,5.0,1,0,0,1,0,0,1,1,1,0
sector 102,3,3.0,3.0,Moderately New Flat,1852.0,1617.467248908297,1428.7085821254009,9.0,0,0,0,0,0,0,1,0,0,0
sector 102,3,3.0,3.0,Moderately New Flat,1692.0,1477.7292576419215,1305.2780350735304,5.0,0,0,0,0,0,0,1,0,0,0
sector 109,3,3.0,3.0,Moderately New Flat,1745.0,1550.0,1357.6636548836555,10.0,0,0,0,0,0,0,1,0,0,1
