price,facing,property_id,sector,society_name,society_stars,num_bedrooms,num_bathrooms,num_balconies,age_group,super_built_up_area,built_up_area,carpet_area,price_per_sqft,floor_number,total_floors,servant_room,study_room,pooja_room,other_additional_room,store_room,ac,bed,chimney,curtains,dining,exhaust,fan,fridge,geyser,light,microwave,modular,sofa,stove,tv,wardrobe,washing,water,Airy Rooms,Bank Attached Property,Centrally Air Conditioned,Club house / Community Center,False Ceiling Lighting,Feng Shui / Vaastu Compliant,Fitness Centre / GYM,High Ceiling Height,Intercom Facility,Internet/wi-fi connectivity,Lift(s),Low Density Society,Maintenance Staff,Natural Light,No open drainage around,Park,Piped-gas,Power Back-up,Private Garden / Terrace,Rain Water Harvesting,Recently Renovated,Security / Fire Alarm,Security Personnel,Separate entry for servant room,Shopping Centre,Spacious Interiors,Swimming Pool,Visitor Parking,Waste Disposal,Water Storage,Water purifier,Water softening plant,amenities_rating,connectivity_rating,construction_rating,environment_rating,green area_rating,lifestyle_rating,management_rating,safety_rating,nearby_locations,description_keywords,total_num_rooms,furnished,floor_category
0.96,,F68828122,sector 81,signature global city 81,,2,2.0,2.0,Under Construction,1396.425,1214.4800764192141,1075.0,6874.697889252913,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,,3.0,,4.0,,4.0,,4.0,ambience mall new|dwarka expressway|nh8|st. xavier's high school|miracles apollo cradle|hyatt regency gurgaon|nakhrola stadium,signature|global|city|gurgaon|seek|destination|apartment|bhk|flat|sector|gurgaon|opportunity|community|construct|carpet|area|sq|ft|flat|comprise|bathroom|balcony|flat|situate|floor|floor|tall|residential|build|property|currently|construction|expect|possession|june,6.0,0,Low rise
0.29,,S68825922,sohna road,hcbs sports ville,3.6,2,2.0,1.0,Moderately New Flat,674.181,586.3396834061136,519.0,4301.515468397952,4.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.0,2.0,4.0,,4.0,,4.0,,the roadside cafe|gd goenka mess|royal kitchen|mithaas wala|momomia gurgoan,affordable|housing|gurgaon|surround|green|clean|air|sell|relocation,5.0,0,Low rise
1.35,,H68825634,sector 79,supertech araville,,3,3.0,3.0,Moderately New Flat,2526.555,2197.3616266375548,1945.0,5343.244061577921,4.0,15.0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.0,,4.0,,3.0,,4.0,petrol pump indian oil|petrol pump|rao dhaba|mcdonald's,spacious|nicely|build|wooden|floor|master|bed|room|location|house|convenient|school|goer|connectivity|great,9.0,0,Low rise
0.95,South-East,F54915126,sector 33,godrej,,2,2.0,4.0,Under Construction,1385.0,1209.6069868995635,1068.4456729177539,6859.205776173284,3.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.0,,3.0,,4.0,,4.0,,godrej|project|nature|plus|floor|flat|balcony|east|face|flat|north|face|balcony|sec|sohan|road|face|flat|need|detail|contact,8.0,0,Low rise
0.7,,K68824240,sector 90,shree vardhman flora,3.8,2,2.0,3.0,New Flat,1300.0,1135.3711790393013,1002.8731947964477,5384.615384615385,13.0,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,,5.0,,4.0,,iris broadway mall|dwarka expressway|saraswati model school|sgt university|aarvy healthcare hospital|indira gandhi international airport|garhi harsaru junction|orchid business park|holiday inn gurugram sector 90|flying wings badminton academy,bhk|apartment|available|sale|shree|vardhman|flora|prominent|project|flat|sector|gurgaon|construct|super|build|area|sq|ft|flat|comprise|bathroom|balcony|flat|lie|level|storey|build|ready|project|expect|immediate|possession|year|old|property,8.0,0,Mid rise
3.95,,R68822708,sector 108,sobha city,,4,5.0,3.0,Moderately New Flat,2846.542,2343.0,2300.0,13876.485925730238,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.0,,4.0,,4.0,,4.0,dwarka sector 21|dwarka expressway|vasant kunj|the shikshiyan school|the northcap university|rions hospital|igi airport|gurgaon|wtc plaza|luxus haritma resort|fun n food waterpark|bsf golf course|nehru stadium,sale|property|sobha|city|sector,12.0,0,High rise
0.9,,S64125662,sector 62,senate court,,1,1.0,0.0,Moderately New Flat,737.8320000000001,639.0000000000001,566.8062037976518,12197.898708649123,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.0,,4.0,,5.0,,4.0,radhakrishna shani mandir|sanatan dharm mandir|standard chartered atm|icici bank atm|state bank atm|vatsalya clinic|anand hospital gurgaon|pracksht hospital|kriti hospital|bones clinic - orthopaedics|meher clinic|surgicare hospital gurgaon|skin clinic|divine look clinic centre|dr. naresh pandita|dr. anuj sharma|vishesh dental|neelkanth health care|park hospital gurgaon|dr. aruna kalra|wellness eye centre|best urologist atcomplete family clinic|wembley estate club|huda office complex|medisca|genius|gardian pharmacy|apollo pharmacy|spaze business park|unitech|hdfc bank|hdfc bank and atm|hdfc bank|hdfc bank|indusind bank|222|madison and pike|pizza hut|india|haldiram|kamla international|gurugram university|amity global school,look|bhk|apartment|sale|gurgaon|search|end|buy|bhk|property|gurgaon|fine|location|sector|owner|list|property|brokerage|involve|floor|floor|apartment|available|reasonable|price|rs|build|area|property|square|foot|bedroom|bathroom|number|repute|school|vicinity|kunskapsskolan|eduventure|pvt|ltd|c|r|oasis|convent|senior|secondry|school|pardeep|mor|mamoril|school|medical|facility|close|hand|name|like|park|hospital|artemis|hospital|gurgaon|w|pratiksha|hospital|senate|court|senate|court|sector|gurgaon,2.0,0,Low rise
1.05,,O68818592,sector 102,shapoorji pallonji joyville,4.0,2,2.0,2.0,Under Construction,1188.585,1033.7202510917032,915.0,8834.033746008909,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5.0,4.0,5.0,,4.0,,4.0,,khan market|the esplanade mall|dwarka expressway|garhi road|delhi public school|sgt university|aryan hospital|indira gandhi int. airport|basai dhankot|the executive centre|inde hotels & resorts|appu ghar|dlf golf and country club,new|upcoming|available|month,6.0,0,Low rise
2.2,North-East,I68814518,sector 33,central park flower valley,,3,3.0,3.0,New Flat,2100.0,1834.061135371179,1620.0259300558,10476.190476190477,12.0,13.0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,,,,,,,,,"airia mall|nh 248a|ne 4, haryana|gd goenka signature school|k. r. mangalam university|lady florence convent school sohna|vardaan hospital & trauma centre|indira gandhi international airport|gurgaon railway station|country inn & suites by radisson|tau devilal stadium sohna",beautiful|bhk|flat|sohna|gurgaon|situate|central|park|flower|valley|popular|residential|society|gurgaon|flat|sq|ft|super|build|area|come|bathroom|balcony|flat|total|floor|property|situate|floor|project|ready|easily|year|old|property,10.0,1,Mid rise
1.01,,P68810298,sector 89,smart world gems,,2,2.0,2.0,Under Construction,1432.797,1246.1130458515286,1103.0,7049.149321222755,4.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4.0,,4.0,,4.0,,4.0,sant soordas sihi metro station|airia mall|dwarka expressway|pataudi road|nh-8|kmp expressway|rps international school|genesis hospital sector 84|gurgaon railway station|vatika business park sector 49|holiday inn gurugram sector 90|de adventure amusement park|national tennis academy sector 98|imt manesar,possession|soon|luxurious|flat|terrace|basement,7.0,0,Low rise
